2021_12_28_17_58_34,5d8cd542766c880017188948,1,2,0,0
2021_12_28_17_58_54,5d8cd542766c880017188948,1,0,0,0
2021_12_28_17_59_09,5d8cd542766c880017188948,2,1,0,0
2021_12_28_17_59_25,5d8cd542766c880017188948,0,3,0,0
2021_12_28_17_59_40,5d8cd542766c880017188948,0,2,0,0
2021_12_28_17_59_55,5d8cd542766c880017188948,1,1,1,0
2021_12_28_18_00_11,5d8cd542766c880017188948,2,1,0,0
2021_12_28_18_00_26,5d8cd542766c880017188948,1,3,0,0
2021_12_28_18_00_41,5d8cd542766c880017188948,0,0,1,0
2021_12_28_18_00_57,5d8cd542766c880017188948,1,0,0,0
2021_12_28_18_01_12,5d8cd542766c880017188948,0,2,0,0
2021_12_28_18_01_27,5d8cd542766c880017188948,2,2,0,0
2021_12_28_18_01_42,5d8cd542766c880017188948,3,3,0,0
2021_12_28_18_01_58,5d8cd542766c880017188948,1,1,0,0
2021_12_28_18_02_13,5d8cd542766c880017188948,2,2,0,0
2021_12_28_18_02_29,5d8cd542766c880017188948,2,1,0,0
2021_12_28_18_02_44,5d8cd542766c880017188948,2,0,0,0
2021_12_28_18_03_00,5d8cd542766c880017188948,2,1,0,0
2021_12_28_18_03_15,5d8cd542766c880017188948,2,3,1,0
2021_12_28_18_03_30,5d8cd542766c880017188948,1,2,1,0
2021_12_28_18_03_46,5d8cd542766c880017188948,1,1,0,0
2021_12_28_18_04_01,5d8cd542766c880017188948,0,2,0,0
2021_12_28_18_04_16,5d8cd542766c880017188948,3,2,0,0
2021_12_28_18_04_32,5d8cd542766c880017188948,2,0,0,0
2021_12_28_18_04_47,5d8cd542766c880017188948,4,3,0,0
2021_12_28_18_05_02,5d8cd542766c880017188948,0,2,0,0
2021_12_28_18_05_18,5d8cd542766c880017188948,1,4,0,0
2021_12_28_18_05_33,5d8cd542766c880017188948,1,2,0,0
2021_12_28_18_05_49,5d8cd542766c880017188948,3,0,0,0
2021_12_28_18_06_05,5d8cd542766c880017188948,4,1,0,0
2021_12_28_18_06_21,5d8cd542766c880017188948,0,3,0,0
2021_12_28_18_06_36,5d8cd542766c880017188948,1,2,0,0
2021_12_28_18_06_51,5d8cd542766c880017188948,1,2,0,0
2021_12_28_18_07_07,5d8cd542766c880017188948,2,1,0,0
2021_12_28_18_07_22,5d8cd542766c880017188948,2,1,1,0
2021_12_28_18_07_37,5d8cd542766c880017188948,1,2,0,0
2021_12_28_18_07_53,5d8cd542766c880017188948,2,3,0,0
